Transaction Date,Owner,Ticker,Asset Name,Asset Type,Transaction Type,Amount,Comment,Last Name,First Name,Date Received,Bioguide ID
05/07/2024,Joint,ARKK,Ark Innovation ETF Option Type: Call Strike price: $51.00 Expires: 12/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,ARKK,Ark Innovation ETF Option Type: Put Strike price: $45.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,XBI,S&P Biotech SPDR Option Type: Call Strike price: $100.00 Expires: 10/18/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,XBI,S&P Biotech SPDR Option Type: Put Strike price: $90.00 Expires: 10/18/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/13/2024,Joint,INTC,Intel Corp,Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/13/2024,Joint,INTC,Intel Corp,Stock,Sale (Partial),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/13/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/13/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $20.00 Expires: 07/19/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $20.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
